nom,dateOfBirth,placeOfBirthLabel,dateOfDeath,placeOfDeathLabel,positions
Arthur Wellesley,1769-05-01T00:00:00Z,Dublin,1852-09-14T00:00:00Z,Q2543161,"Premier ministre du Royaume-Uni, secrétaire d'État aux Affaires étrangères, secrétaire d'État à la Guerre et aux Colonies, connétable de la Tour de Londres, leader de la Chambre des lords, secrétaire d'État à l'Intérieur, Membre du parlement d'Irlande, ambassadeur du Royaume-Uni en France, membre du Conseil privé d'Irlande, membre du Conseil privé du Royaume-Uni, membre du 4e Parlement du Royaume-Uni"
Ingeborg Gräßle,1961-03-02T00:00:00Z,Heidenheim an der Brenz,,,"député européen, député au Landtag de Bade-Wurtemberg"
Jean-Paul II,1920-05-18T00:00:00Z,Wadowice,2005-04-02T00:00:00Z,palais du Vatican,"pape, cardinal, évêque auxiliaire, évêque catholique, évêque titulaire, Archevêque de Cracovie, archevêque catholique"
Jean Duvergier de Hauranne,1581-01-01T00:00:00Z,Bayonne,1643-10-11T00:00:00Z,Paris,abbé
Adèle de Blois,1065-01-01T00:00:00Z,Normandie,1137-03-15T00:00:00Z,Marcigny,régent
Hubert de Brivazac,1808-01-01T00:00:00Z,,1832-01-01T00:00:00Z,,
Catherine II de Russie,1729-05-02T00:00:00Z,Szczecin,1796-11-17T00:00:00Z,Saint-Pétersbourg,Empereur de toutes les Russies
Honoré de Balzac,1799-05-20T00:00:00Z,Tours,1850-08-18T00:00:00Z,Paris,président
David de Dinan,1160-01-01T00:00:00Z,,1217-01-01T00:00:00Z,,
Étienne,,Bourgogne-Franche-Comté,1069-01-01T00:00:00Z,mont Cassin,cardinal
Madame Grès,1903-11-30T00:00:00Z,Paris,1993-11-24T00:00:00Z,Paris,
Q64761969,,,1223-11-30T00:00:00Z,,"évêque catholique, évêque diocésain"
Eustache de Rome,0100-01-01T00:00:00Z,Rome,0118-01-01T00:00:00Z,Rome,apôtre
Barthélémy Dumortier,1797-04-03T00:00:00Z,Tournai,1878-07-09T00:00:00Z,Tournai,député
Guillaume d'Auvergne,1180-01-01T00:00:00Z,Aurillac,1249-01-01T00:00:00Z,Paris,évêque
Louis VIII de France,1187-09-12T00:00:00Z,Paris,1226-11-15T00:00:00Z,Montpensier,roi de France
Grégoire IX,1160-01-01T00:00:00Z,Anagni,1241-08-29T00:00:00Z,Rome,"pape, doyen du Collège des cardinaux, cardinal-évêque"
Saint Louis,1214-05-02T00:00:00Z,Poissy,1270-09-01T00:00:00Z,Tunis,roi de France
Leucippe,-0500-01-01T00:00:00Z,Milet,-0500-01-01T00:00:00Z,,
Albert le Grand,1200-01-01T00:00:00Z,Lauingen (Donau),1280-11-22T00:00:00Z,Cologne,évêque de Ratisbonne
Pierre de Montreuil,1200-01-01T00:00:00Z,Montreuil,1267-03-24T00:00:00Z,Paris,
Blanche de Castille,1188-03-11T00:00:00Z,Palencia,1252-12-04T00:00:00Z,Melun,reine de France
Guillaume de Saint-Thierry,1075-01-01T00:00:00Z,Liège,1148-09-08T00:00:00Z,abbaye Notre-Dame de Signy,abbé
Alphonse de Poitiers,1220-11-11T00:00:00Z,Poissy,1271-08-28T00:00:00Z,Tarquinia,
Gabriel de Saint-Aubin,1724-04-14T00:00:00Z,Paris,1780-02-14T00:00:00Z,Paris,
Robert de Sorbon,1201-10-16T00:00:00Z,Sorbon,1274-08-22T00:00:00Z,Paris,
Jehan de Chelles,1200-01-01T00:00:00Z,Chelles,1265-01-01T00:00:00Z,Paris,
Henri III,1551-09-29T00:00:00Z,château de Fontainebleau,1589-08-02T00:00:00Z,Saint-Cloud,"roi de Pologne, roi de France"
Saint Louis,1214-05-02T00:00:00Z,Poissy,1270-09-01T00:00:00Z,Tunis,roi de France
Étienne Boileau,1200-01-01T00:00:00Z,royaume de France,1270-01-01T00:00:00Z,Paris,prévôt de Paris
Siger de Brabant,1235-01-01T00:00:00Z,duché de Brabant,1284-11-17T00:00:00Z,Orvieto,
Martin IV,1220-04-03T00:00:00Z,Touraine,1285-04-11T00:00:00Z,Pérouse,pape
Pierre de Montreuil,1200-01-01T00:00:00Z,Montreuil,1267-03-24T00:00:00Z,Paris,
Étienne Tempier,1210-01-01T00:00:00Z,Orléans,1279-09-03T00:00:00Z,Paris,évêque de Paris
Étienne Boileau,1200-01-01T00:00:00Z,royaume de France,1270-01-01T00:00:00Z,Paris,prévôt de Paris
Thomas d'Aquin Ouattara,1916-02-02T00:00:00Z,département de Katiola,1990-01-19T00:00:00Z,Abidjan,Chef d'état-major des armées (Côte d'Ivoire)
Guillaume de Saône,1100-01-01T00:00:00Z,,1132-01-01T00:00:00Z,,
Gérard d'Abbeville,1225-01-01T00:00:00Z,Abbeville,1272-11-08T00:00:00Z,,
Saint Louis,1214-05-02T00:00:00Z,Poissy,1270-09-01T00:00:00Z,Tunis,roi de France
Robert II d'Artois,1250-09-01T00:00:00Z,Mansourah,1302-07-19T00:00:00Z,Courtrai,régent
Philippe III d'Espagne,1578-04-24T00:00:00Z,Madrid,1621-03-31T00:00:00Z,Madrid,"gouverneur général des Philippines, Q58637583, monarque du portugal, Q66771585"
Marie de Brabant,1190-01-01T00:00:00Z,Louvain,1260-06-21T00:00:00Z,Louvain,
Pierre d'Auvergne,1240-01-01T00:00:00Z,,1304-10-03T00:00:00Z,,évêque
Philippe II de Bourgogne,1342-01-17T00:00:00Z,Pontoise,1404-05-06T00:00:00Z,Hal,"duc de Bourgogne, gouverneur de Bretagne"
Jeanne Ire de Navarre,1273-01-21T00:00:00Z,Bar-sur-Seine,1305-04-10T00:00:00Z,Vincennes,Monarque de Navarre
Philippe IV de France,1268-01-01T00:00:00Z,Fontainebleau,1314-12-07T00:00:00Z,Fontainebleau,"roi de France, Monarque de Navarre"
Béla Bartók,1881-03-25T00:00:00Z,Sânnicolau Mare,1945-09-26T00:00:00Z,New York,
Jeanne de Châtillon,1280-01-01T00:00:00Z,,1354-01-24T00:00:00Z,,
Philippe IV de France,1268-01-01T00:00:00Z,Fontainebleau,1314-12-07T00:00:00Z,Fontainebleau,"roi de France, Monarque de Navarre"
Augustin d'Hippone,0354-11-14T00:00:00Z,Thagaste,0430-08-29T00:00:00Z,Hippone,"évêque catholique, évêque diocésain"
Marguerite de Provence,1221-01-01T00:00:00Z,Forcalquier,1295-12-20T00:00:00Z,Paris,
Robert III d'Artois,1287-01-01T00:00:00Z,,1342-01-01T00:00:00Z,Londres,
Jacques Chirac,1932-11-29T00:00:00Z,Paris,2019-09-26T00:00:00Z,Paris,"député européen, président, président de la République française, coprince d'Andorre, Premier ministre français, président de conseil général, député, maire de Paris, ministre de l'Intérieur, ministre délégué aux Relations avec le Parlement, ministre de l'Agriculture et du Développement rural, Conseiller général de la Corrèze"
Jean Duns Scot,1265-01-01T00:00:00Z,Duns,1308-11-16T00:00:00Z,Cologne,
Guillaume de Nogaret,1260-01-01T00:00:00Z,Saint-Félix-Lauragais,1313-04-01T00:00:00Z,Paris,juge
Jacques de Molay,t1786070124,Molay,1314-03-26T00:00:00Z,Paris,Grand maître de l'ordre du Temple
Erik Morales,1976-09-01T00:00:00Z,Tijuana,,,
Guichard de Troyes,,Troyes,1316-01-30T00:00:00Z,,
Amaury de Nesle,1200-01-01T00:00:00Z,Nesle,1180-10-06T00:00:00Z,,"patriarche, liste des patriarches latins de Jérusalem"
Jean I de Saive,1540-01-01T00:00:00Z,Namur,1611-01-01T00:00:00Z,Namur,
Louis de Navarre,1341-01-01T00:00:00Z,,1376-01-01T00:00:00Z,Pouilles,Q6412197
Geoffroy de Charnay,1251-01-01T00:00:00Z,,1314-03-18T00:00:00Z,Paris,
Étienne Barbette,1250-01-01T00:00:00Z,Paris,1321-12-27T00:00:00Z,Paris,
Louis XVI,1754-08-23T00:00:00Z,château de Versailles,1793-01-21T00:00:00Z,place de la Concorde,"roi de France et de Navarre, roi des Français"
Jeanne Moreau,1928-01-23T00:00:00Z,Paris,2017-07-31T00:00:00Z,8e arrondissement de Paris,"président du jury du festival de Cannes, Q66023877"
Galéran IV de Meulan,1104-01-01T00:00:00Z,,1166-04-16T00:00:00Z,Préaux,
Philippe V de France,1293-01-01T00:00:00Z,Vincennes,1322-01-11T00:00:00Z,abbaye royale de Longchamp,"roi de France, Monarque de Navarre"
