nom,dateOfBirth,placeOfBirthLabel,dateOfDeath,placeOfDeathLabel,positions
Nicolas Laurens-Humblot,1788-10-14T00:00:00Z,Villefranche-sur-Saône,1853-08-31T00:00:00Z,Paris,"maire, député, Pair de France"
Jean de Laval-Châteaubriant,1486-01-01T00:00:00Z,,1543-01-01T00:00:00Z,,gouverneur de Bretagne
Guillaume II de Sicile,1153-01-01T00:00:00Z,Palerme,1189-11-25T00:00:00Z,Palerme,
Q61773603,,,,,
Simon le Breton,1420-01-01T00:00:00Z,,1473-11-12T00:00:00Z,Cambrai,
Jean Le Cornu,1505-01-01T00:00:00Z,,,,
Pierre Le Fèvre de Beauvray,1724-01-01T00:00:00Z,,,,
Jean Le Fort,,,,,
Pierre Le Lorrain de Vallemont,1649-09-10T00:00:00Z,,1721-12-30T00:00:00Z,,
Guillaume Le Roy,1938-07-28T00:00:00Z,Blaricum,2008-05-05T00:00:00Z,Amsterdam,
Jean Louis Vivès,1492-03-06T00:00:00Z,Valence,1540-05-06T00:00:00Z,Bruges,
Guillaume de Luxembourg,1981-11-11T00:00:00Z,Luxembourg,,,conseiller d'État
Brécourt,1638-02-10T00:00:00Z,Paris,1685-03-28T00:00:00Z,Paris,sociétaire de la Comédie-Française
Raymond Marcellin,1914-08-19T00:00:00Z,Sézanne,2004-09-08T00:00:00Z,Paris,"député, conseiller général, sénateur, ministre de l'Intérieur, ministre de l'Agriculture et du Développement rural, maire de Vannes, conseiller régional de Bretagne"
Pierre-Michel-Bernardin Saglio,1759-08-29T00:00:00Z,Haguenau,1848-07-10T00:00:00Z,Walbourg,"conseiller général du Bas-Rhin, député du Bas-Rhin, maire de Walbourg"
Pierre Mignot,1944-02-23T00:00:00Z,Montréal,,,
Jacques Nicolas Billaud-Varenne,1756-04-23T00:00:00Z,La Rochelle,1819-06-03T00:00:00Z,Port-au-Prince,"président de la République française, député, député de la Convention nationale"
Pierre Parent,1893-02-05T00:00:00Z,Péronne,1957-11-18T00:00:00Z,Rabat,député
Q42600122,,,,,
Pierre Philippe Denfert-Rochereau,1823-01-11T00:00:00Z,Saint-Maixent-l'École,1878-05-11T00:00:00Z,Versailles,député
Pierre Pillot,1748-01-01T00:00:00Z,,1822-01-01T00:00:00Z,Nîmes,
Pierre Pommier,1922-09-12T00:00:00Z,Saint-Paul-Trois-Châteaux,,,député
Nicolas IV Potier,1505-01-01T00:00:00Z,,1628-01-01T00:00:00Z,La Rochelle,Secrétaire d'État des Affaires étrangères
Nicolas IV Potier,1505-01-01T00:00:00Z,,1628-01-01T00:00:00Z,La Rochelle,Secrétaire d'État des Affaires étrangères
Jacky Ravenel,1943-06-03T00:00:00Z,,,,
Jean Pillement,1728-05-24T00:00:00Z,Lyon,1808-04-26T00:00:00Z,Lyon,peintre de cour
Henri Roussel de Courcy,1827-05-30T00:00:00Z,Orléans,1887-11-08T00:00:00Z,Paris,"gouverneur, Résident général du Protectorat français d'Annam, Résident général de l'Indochine français"
Louis Royer,1793-08-01T00:00:00Z,Malines,1868-06-05T00:00:00Z,Amsterdam,
Benoît Ruelle,1949-01-01T00:00:00Z,Le Havre,,,
Jean Sacha,1912-04-25T00:00:00Z,Saint-Jean-Cap-Ferrat,1988-09-15T00:00:00Z,Paris,
Guillaume de Saint-Amour,1202-01-01T00:00:00Z,Saint-Amour,1272-09-13T00:00:00Z,Saint-Amour,
Guillaume Sanguin,,,1442-02-23T00:00:00Z,,
Jean Talon,1626-01-08T00:00:00Z,Châlons-en-Champagne,1694-11-23T00:00:00Z,France,intendant de la généralité de Valenciennes
Nicolás Videla del Pino,1760-01-01T00:00:00Z,,1819-01-01T00:00:00Z,,"évêque catholique, évêque diocésain"
Pierre Villette,1926-02-07T00:00:00Z,Duclair,1998-03-06T00:00:00Z,Aix-en-Provence,
Jean Vivien,,Auxerre,1445-06-01T00:00:00Z,,évêque
Jean Gosselin,,,,,
Alain Le Breton de la Plussinais,1657-02-17T00:00:00Z,Saint-Malo,1728-04-02T00:00:00Z,,maire de Saint-Malo
Alain Le Breton de la Plussinais,1657-02-17T00:00:00Z,Saint-Malo,1728-04-02T00:00:00Z,,maire de Saint-Malo
Jean Lemaire,1598-01-01T00:00:00Z,Dammartin-en-Goële,1659-01-01T00:00:00Z,Gaillon,
Lukas von Hildebrandt,1668-11-14T00:00:00Z,Gênes,1745-11-16T00:00:00Z,Vienne,
Richard Morel,2000-01-01T00:00:00Z,,,,
Jean Perréal,1450-01-01T00:00:00Z,Paris,1530-01-01T00:00:00Z,Paris,peintre de cour
Pierre Rabot,1865-01-01T00:00:00Z,,2000-01-01T00:00:00Z,,
Richard Rousselle,1969-10-18T00:00:00Z,,,,"maire de Vadans, conseiller municipal de Vadans"
Jean Ier de Châtillon,1345-02-05T00:00:00Z,Jugon-les-Lacs,1404-01-16T00:00:00Z,Lamballe,
Jean de Meung,1240-01-01T00:00:00Z,Meung-sur-Loire,1304-01-01T00:00:00Z,Paris,
Jean Collot,1917-07-13T00:00:00Z,Navenne,1940-06-16T00:00:00Z,Béthune,
Laurent Colot,1520-01-01T00:00:00Z,,1590-01-01T00:00:00Z,,
Jean Cordier,1440-01-01T00:00:00Z,Bruges,1501-09-28T00:00:00Z,Bruges,
Jean Cousin,1401-01-01T00:00:00Z,,1599-01-01T00:00:00Z,,
Robin Cousins,1957-08-17T00:00:00Z,Bristol,,,
Simon Cousin,1957-02-26T00:00:00Z,,,,"maire de Laparrouquial, conseiller municipal de Cordes-sur-Ciel, conseiller municipal de Laparrouquial, conseiller communautaire du Cordais et du Causse"
Q23036043,,,,,
Jean Garnier-Bodéléac,1819-12-24T00:00:00Z,Quintin,1892-12-27T00:00:00Z,Quintin,"député des Côtes-d'Armor, maire de Quintin"
Johann Gottfried Tulla,1770-03-20T00:00:00Z,Karlsruhe,1828-03-27T00:00:00Z,Paris,
Dugazon,1746-11-15T00:00:00Z,Marseille,1809-10-19T00:00:00Z,Sandillon,sociétaire de la Comédie-Française
Richard Henry Dana,1815-08-01T00:00:00Z,Cambridge,1882-01-06T00:00:00Z,Rome,député à la Chambre des représentants du Massachusetts
Jean de L'Aigle,1450-01-01T00:00:00Z,,1454-01-01T00:00:00Z,,
Jean de La Chapelle,1651-10-24T00:00:00Z,Bourges,1723-05-29T00:00:00Z,Paris,fauteuil 31 de l'Académie française
Q69440820,,,,,
Robert Le Coq,1310-01-01T00:00:00Z,Montdidier,1373-01-01T00:00:00Z,Calahorra,évêque de Laon
Q64745887,1707-01-01T00:00:00Z,,1764-09-09T00:00:00Z,,"évêque catholique, évêque diocésain"
Jean Lefebvre de Cheverus,1768-01-28T00:00:00Z,Mayenne,1836-07-19T00:00:00Z,Bordeaux,"cardinal, évêque catholique, évêque diocésain, pair de France, archevêque catholique"
Jean Le Jeune,1411-01-01T00:00:00Z,Arras,1451-09-18T00:00:00Z,Rome,"cardinal, évêque catholique, évêque diocésain"
Guillaume Le Prestre de Lézonnet,1587-01-01T00:00:00Z,Concarneau,1640-01-01T00:00:00Z,,"évêque catholique, évêque diocésain"
Pierre Lyonnet,1708-07-22T00:00:00Z,Maastricht,1789-10-10T00:00:00Z,La Haye,
Jean-Marcel Jeanneney,1910-11-13T00:00:00Z,Paris,2010-09-17T00:00:00Z,Paris,"ambassadeur, député, conseiller général, garde des Sceaux, ministre de la Justice, membre du Conseil économique, social et environnemental, ambassadeur de France en Algérie, maire de Rioz"
Nicolas-Marcel Raingo,1746-02-09T00:00:00Z,Mons,1823-12-08T00:00:00Z,,
Jean Moisy,1714-01-01T00:00:00Z,,1782-01-01T00:00:00Z,,
Jean Nicaise Gros,1794-10-07T00:00:00Z,Reims,1857-12-13T00:00:00Z,Versailles,"évêque catholique, évêque diocésain"
Q64779965,,,,,"évêque catholique, évêque diocésain"
Pierre Quétineau,1756-08-25T00:00:00Z,Le Puy-Notre-Dame,1794-03-17T00:00:00Z,Paris,
Colin Roberts,1959-07-31T00:00:00Z,,,,"Commissaire de Géorgie du Sud et des îles Sandwich du Sud, Q5152843, Gouverneur des Îles Malouines"
Guillaume Robert,1972-07-04T00:00:00Z,,,,porte-parole
Nicolas Robert de Cocherel,1741-06-15T00:00:00Z,Petite Rivière de l'Artibonite,1826-02-04T00:00:00Z,Versailles,député aux États généraux de 1789
Guillaume Belin,1500-01-01T00:00:00Z,,1568-12-03T00:00:00Z,,
Jean Bouche,1854-01-01T00:00:00Z,Paris,1914-01-01T00:00:00Z,Bordeaux,maire de Bordeaux
Jean Chevalier,,,1438-08-06T00:00:00Z,,évêque
Robert Chevalier,1896-10-14T00:00:00Z,,1971-03-17T00:00:00Z,,sénateur
Thomas Hubert Stinson,1883-02-26T00:00:00Z,Minden Hills,1965-01-29T00:00:00Z,,député de la Chambre des communes du Canada
Jean Hutin,,,,,
Isaac Le Chapelier,1754-06-12T00:00:00Z,Rennes,1794-04-22T00:00:00Z,Paris,député
Jean Michel,1500-01-01T00:00:00Z,,1468-12-28T00:00:00Z,Lucens,évêque catholique
Jean Ogier de Gombauld,1576-01-01T00:00:00Z,Saint-Just-Luzac,1666-01-01T00:00:00Z,Paris,fauteuil 5 de l'Académie française
Pierre Blondel,,,,,"Préfet d'Indre-et-Loire, Préfet du Val-d'Oise, Préfet du Territoire de Belfort, Préfet de la Savoie"
Richard de Braylegh,,,,,doyen d'Exeter
Guillaume Cornut,1230-01-01T00:00:00Z,Marseille,1283-01-01T00:00:00Z,mer,
Guillaume du Boisbaudry,1967-03-08T00:00:00Z,,,,directeur de la rédaction
Jean-Marc Nattier,1685-03-17T00:00:00Z,Paris,1766-11-07T00:00:00Z,Paris,peintre de cour
Pierre Bonenfant,1936-11-09T00:00:00Z,,2010-01-11T00:00:00Z,,
Q69440820,,,,,
Robert Pichette,1936-08-07T00:00:00Z,Edmundston,2019-10-24T00:00:00Z,Moncton,
Jean Pinel,1899-08-06T00:00:00Z,,1992-12-07T00:00:00Z,,"chef de cabinet, Trésorier-payeur général, préfet de Meurthe-et-Moselle, Préfet du Territoire de Belfort, Préfet de la Côte-d'Or, Sous-préfet de Clamecy, Sous-préfet de Vendôme"
Giovanni Treves,,,,,
Jean Le Blanc,,,,,maire de Tours
Jean de Brienne,1158-01-01T00:00:00Z,,1237-03-30T00:00:00Z,Constantinople,roi
Jean Le Breton,,,1607-04-01T00:00:00Z,Paris,archevêque
Q61477001,,,1555-01-01T00:00:00Z,,
Jean Louvet,1370-01-01T00:00:00Z,,1440-01-01T00:00:00Z,,
Jean Maillard,,,,,
Q50825879,1902-05-11T00:00:00Z,,1960-11-30T00:00:00Z,,préfet
Pierre Breteau,1970-03-25T00:00:00Z,,,,"conseiller régional de Bretagne, maire de Saint-Grégoire, conseiller municipal de Saint-Grégoire, conseiller de Rennes Métropole"
Guillaume de Cologne,t1798562465,,t1798562464,,
Jean L'Evesque de La Cassière,1503-01-01T00:00:00Z,province d'Auvergne,1581-12-12T00:00:00Z,Rome,Grands maîtres de l'ordre de Saint-Jean de Jérusalem
Nicolas Le Breton,1973-08-03T00:00:00Z,,,,
Jean Le Vacher,1619-03-15T00:00:00Z,Écouen,1683-07-26T00:00:00Z,Alger,
Jean-Baptiste Delille,1912-12-24T00:00:00Z,Haveluy,1993-06-07T00:00:00Z,,
Jacques Nicolas Billaud-Varenne,1756-04-23T00:00:00Z,La Rochelle,1819-06-03T00:00:00Z,Port-au-Prince,"président de la République française, député, député de la Convention nationale"
Q61989865,,,,,sous-préfet du Vigan
