nom,dateOfBirth,placeOfBirthLabel,dateOfDeath,placeOfDeathLabel,positions
Honoré-Gabriel Riqueti de Mirabeau,1749-03-09T00:00:00Z,Le Bignon-Mirabeau,1791-04-02T00:00:00Z,Paris,"député aux États généraux de 1789, Président de l'Assemblée constituante"
Louis XVI,1754-08-23T00:00:00Z,château de Versailles,1793-01-21T00:00:00Z,place de la Concorde,"roi de France et de Navarre, roi des Français"
Marie-Antoinette,1755-11-02T00:00:00Z,Vienne,1793-10-16T00:00:00Z,Paris,reine de France
Olympe de Gouges,1748-05-07T00:00:00Z,Montauban,1793-11-03T00:00:00Z,Paris,
Maximilien de Robespierre,1758-05-06T00:00:00Z,Arras,1794-07-28T00:00:00Z,Paris,député
Louis XVIII,1755-11-17T00:00:00Z,Versailles,1824-09-16T00:00:00Z,Paris,roi de France et de Navarre
Claude Perier,1742-05-28T00:00:00Z,Grenoble,1801-02-06T00:00:00Z,Paris,"Régent de la Banque de France, député de l'Isère"
Joseph Cugnot,1725-09-25T00:00:00Z,Lorraine,1804-10-02T00:00:00Z,Paris,
Saint Louis,1214-05-02T00:00:00Z,Poissy,1270-09-01T00:00:00Z,Tunis,roi de France
Auguste Brunet,1878-01-04T00:00:00Z,Saint-Benoît,1957-10-07T00:00:00Z,Toulon,"sous-secrétaire d'État, Gouverneur général de Madagascar, député de La Réunion, Gouverneur général de l'Afrique-Occidentale française"
André Masséna,1758-05-06T00:00:00Z,Nice,1817-04-04T00:00:00Z,Paris,"député, Pair de France, maire de Nice"
Anne de Grande-Bretagne,1665-02-06T00:00:00Z,palais Saint James,1714-08-01T00:00:00Z,palais de Kensington,"monarque, reine régnante, monarque d'Angleterre, roi d'Écosse"
Napoléon Ier,1769-01-01T00:00:00Z,Ajaccio,1821-01-01T00:00:00Z,Longwood House,empereur des Français
Abraham Breguet,1747-01-10T00:00:00Z,Neuchâtel,1823-09-17T00:00:00Z,Paris,
Jacques de Vincens de Mauléon de Causans,1751-07-31T00:00:00Z,château de Causans,1824-04-14T00:00:00Z,Paris,"député aux États généraux de 1789, député de Vaucluse"
François XII de La Rochefoucauld,1747-01-11T00:00:00Z,La Roche-Guyon,1827-03-27T00:00:00Z,Paris,"député, conseiller général, pair de France"
Gilbert du Motier de La Fayette,1757-09-06T00:00:00Z,Chavaniac-Lafayette,1834-05-19T00:00:00Z,ancien 1er arrondissement de Paris,député
Stendhal,1783-01-23T00:00:00Z,Grenoble,1842-03-23T00:00:00Z,Paris,auditeur au Conseil d'État
Juliette Récamier,1777-12-04T00:00:00Z,Lyon,1849-05-04T00:00:00Z,Paris,
Ulrich Molitor,1442-01-01T00:00:00Z,Constance,1507-01-01T00:00:00Z,Constance,
Henri Frédéric Schopin,1804-06-12T00:00:00Z,Lübeck,1880-10-21T00:00:00Z,Montigny-sur-Loing,
Honoré de Balzac,1799-05-20T00:00:00Z,Tours,1850-08-18T00:00:00Z,Paris,président
Louis Faure-Dujarric,1875-02-05T00:00:00Z,9e arrondissement de Paris,1943-07-20T00:00:00Z,Nice,architecte diocésain
Pietro Lanza di Scalea,1863-10-20T00:00:00Z,Palerme,1938-05-29T00:00:00Z,Rome,"sénateur du Royaume d'Italie, député du Royaume d'Italie"
Antoine de Gratet du Bouchage,1794-03-19T00:00:00Z,Grenoble,1855-09-25T00:00:00Z,Paris,député
Hippolyte Louis Joseph Olivier de Gérente,1782-06-11T00:00:00Z,Pernes-les-Fontaines,1856-05-07T00:00:00Z,Paris,député
Eugène Delacroix,1798-04-26T00:00:00Z,Saint-Maurice,1863-08-13T00:00:00Z,Paris,
Alfred de Vigny,1797-03-27T00:00:00Z,Loches,1863-09-17T00:00:00Z,Paris,fauteuil 32 de l'Académie française
Alphonse de Lamartine,1790-10-21T00:00:00Z,Mâcon,1869-02-28T00:00:00Z,Paris,"député, conseiller général, fauteuil 7 de l'Académie française"
Hector Berlioz,1803-12-11T00:00:00Z,La Côte-Saint-André,1869-03-08T00:00:00Z,Paris,
Hubert Beuve-Méry,1902-01-05T00:00:00Z,Paris,1989-08-06T00:00:00Z,Fontainebleau,
comtesse de Ségur,1799-08-01T00:00:00Z,Saint-Pétersbourg,1874-02-09T00:00:00Z,Paris,
Pierre Larousse,1817-10-23T00:00:00Z,Toucy,1875-01-03T00:00:00Z,Paris,
Marie d’Agoult,1805-12-31T00:00:00Z,Francfort-sur-le-Main,1876-03-05T00:00:00Z,Paris,
