,nom,lon,lat,inception,height
525,hôtel Meiland,2.35872,48.8517,,
526,hôtel Pauilhac,2.2857,48.8674,,
527,hôtel Pellé de Montaleau,2.34106,48.866,,
528,hôtel Pillet-Will,2.32033,48.869,,
529,hôtel Pierrard,2.36417,48.8555,,
530,hôtel Potocki,2.30144,48.8741,,
534,hôtel Salomon de Rothschild,2.3030555555556,48.875277777778,,
535,hôtel Scipion,2.35318,48.8385,,
539,hôtel Talma,2.33311,48.87767,,
540,hôtel Thiroux de Lailly,2.35681,48.8624,,
541,hôtel Titon,2.34842,48.8751,,
542,hôtel Tubeuf,2.33805556,48.86666667,,
546,hôtel d'Aguesseau,2.34153,48.85361,,
547,hôtel d'Angennes de Rambouillet,2.36681,48.8558,,
551,hôtel d'Aligre,2.32944,48.8569,,
552,hôtel d'Arvers,2.35519,48.8514,,
553,hôtel d'Asfeldt,2.36672,48.8555,,
557,hôtel d'Auterive,2.33011,48.85889,,
558,colonne Vendôme,2.329414,48.867469,1800-01-01T00:00:00Z,44
559,pont Mirabeau,2.27639,48.84639,1896-01-01T00:00:00Z,15
561,tombe de Frédéric Chopin,2.3927777777778,48.86,1850-01-01T00:00:00Z,45
562,tombe de Frédéric Chopin,2.3927777777778,48.86,1850-01-01T00:00:00Z,107
563,tour Eiffel,2.294479,48.858296,1887-01-01T00:00:00Z,300
564,tour Eiffel,2.294479,48.858296,1887-01-01T00:00:00Z,324
565,monument aux morts du Père-Lachaise,2.3924972222222,48.861080555556,1899-11-01T00:00:00Z,69
566,monument aux morts du Père-Lachaise,2.39194,48.86092,1899-11-01T00:00:00Z,69
569,tombe d'Adolphe Thiers,2.392972,48.861111,1887-09-03T00:00:00Z,14
572,tombe de François-Joseph Lefebvre,2.396566,48.859053,1822-01-01T00:00:00Z,123
573,tombe d'Allan Kardec,2.394444,48.862222,1870-01-01T00:00:00Z,53
574,tombe de Luigi Cherubini,2.392758,48.860236,1846-01-01T00:00:00Z,2
577,arc de triomphe de l'Étoile,2.295,48.8738,1836-01-01T00:00:00Z,49.54
578,obélisque de Louxor,2.3211111111111,48.865555555556,-1289-01-01T00:00:00Z,23
579,obélisque de Louxor,2.321133,48.865475,-1289-01-01T00:00:00Z,23
581,tombe de Piñeyro,2.389983,48.860322,,150
585,théâtre de l'Odéon,2.33875,48.8495,1782-04-09T00:00:00Z,
586,Couronnes,2.380155,48.869274,,
590,palais de la Porte Dorée,2.4094444444444,48.835277777778,1931-01-01T00:00:00Z,
594,église Saint-Joseph-des-Carmes,2.330353,48.848492,1620-01-01T00:00:00Z,
595,Daumesnil,2.3958,48.83961,,
596,Denfert-Rochereau,2.3318934600192,48.833591903558,,
597,casino de Paris,2.330117,48.878358,1895-01-01T00:00:00Z,
598,église Saint-Jean-Bosco,2.3980556,48.855,1937-01-01T00:00:00Z,
599,église Saint-Julien-le-Pauvre,2.346944,48.851944,1200-01-01T00:00:00Z,
600,galerie Colbert,2.33936111,48.86683333,1826-01-01T00:00:00Z,
601,galerie Vivienne,2.33972222,48.86666667,1823-01-01T00:00:00Z,
602,Rue Saint-Maur,2.3794812,48.8643338,1904-10-19T00:00:00Z,
603,église Saint-Denys-du-Saint-Sacrement,2.364722,48.86,1826-01-01T00:00:00Z,
604,pont des Arts,2.3375,48.858333333333,1804-01-01T00:00:00Z,
605,République,2.36333,48.8675,,
614,grande synagogue de Paris,2.33639,48.8756,1867-01-01T00:00:00Z,
615,place des Victoires,2.3411111111111,48.865833333333,1685-01-01T00:00:00Z,
616,galerie Véro-Dodat,2.340257,48.862718,1826-01-01T00:00:00Z,
617,hôtel des archevêques de Sens,2.3591666666667,48.853333333333,,
618,Opéra,2.33222,48.87083,,
622,Mouton-Duvernet,2.3294269348369,48.831319699598,,
623,église Saint-Germain-de-Charonne,2.404016,48.860482,,
625,Parmentier,2.37444,48.86528,,
626,grande halle de la Villette,2.39083333,48.89083333,1867-01-01T00:00:00Z,
627,passage Jouffroy,2.342141,48.872549,1845-01-01T00:00:00Z,
628,passage Verdeau,2.342318,48.873532,,
629,passage Choiseul,2.33575344,48.86901986,,
630,hôtel de la Marine,2.3230833333333,48.866777777778,,
631,bibliothèque de l'Arsenal,2.3635277777778,48.850277777778,,
632,viaduc d'Austerlitz,2.367778,48.843611,1904-01-01T00:00:00Z,
636,passerelle Debilly,2.2963888888889,48.863055555556,,
640,église Saint-Pierre de Montmartre,2.3419444444444,48.886666666667,1101-01-01T00:00:00Z,
641,sous-station Temple,2.3715,48.8715,,
642,théâtre de la Ville,2.3481194444444,48.857211111111,1862-01-01T00:00:00Z,
643,hôtel Cornette,2.34131,48.866,,
644,église Sainte-Marguerite,2.38111,48.8528,1625-01-01T00:00:00Z,
648,Plaza Athénée,2.304369,48.866203,1911-01-01T00:00:00Z,
649,regard de la Lanterne,2.39441,48.8759,,
650,église Notre-Dame-de-l'Assomption,2.325278,48.867222,1676-01-01T00:00:00Z,
651,Le Trianon,2.343059,48.882839,,
652,café de la Gare,2.3524656,48.8573719,,
653,fontaine Médicis,2.33833333,48.84805556,,
654,fontaine Médicis,2.33912,48.84812,,
655,fontaine Palatine,2.33589444,48.85001389,,
656,fontaine de Charonne,2.37374,48.852,,
657,fontaine de Joyeuse,2.36433,48.8573,,
658,fontaine de Mars,2.3024,48.8584,,
659,fontaine de la Croix du Trahoir,2.34237,48.8614,,
660,fontaine de la Paix,2.33278,48.8494,,
661,fontaine de la Petite-Halle,2.38311,48.8504,,
662,fontaine de la Roquette,2.37472,48.8556,,
663,fontaine des Quatre-Parties-du-Monde,2.33680556,48.84105556,,
664,fontaine du Marché-aux-Carmes,2.3368,48.8569,1830-01-01T00:00:00Z,
665,fontaine du Château d'eau,2.3922777777778,48.889555555556,,
666,fontaine du Château d'eau,2.363,48.8682,,
667,fontaine du Fellah,2.3212,48.8487,1806-01-01T00:00:00Z,
671,fontaine du Pot-de-Fer,2.34956,48.8431,,
672,fontaine du Palmier,2.34726944,48.85749722,,
673,hôtel de Chenizot,2.35544,48.8521,,
674,hôtel de Choiseul-Praslin,2.32038,48.8478,,
675,hôtel de Châtillon,2.36647,48.855,,
679,hôtel de Clermont-Tonnerre,2.36675,48.8556,,
