nom,dateOfBirth,placeOfBirthLabel,dateOfDeath,placeOfDeathLabel,positions,birthYear,deathYear
Guillaume de La Mare,1300-01-01T00:00:00Z,Angleterre,1290-01-01T00:00:00Z,,,1300.0,1290.0
Jean de Metz,1388-01-01T00:00:00Z,,,,,1388.0,
Jean Cabot,1450-01-01T00:00:00Z,Gaète,1498-01-01T00:00:00Z,océan Atlantique Nord,,1450.0,1498.0
Jean Braconnier,1401-01-01T00:00:00Z,,1512-01-01T00:00:00Z,,,1401.0,1512.0
Raoul de Caen,1080-01-01T00:00:00Z,Caen,1120-01-01T00:00:00Z,,,1080.0,1120.0
Richard de Cornouailles,1209-01-12T00:00:00Z,Winchester,1272-04-09T00:00:00Z,Berkhamsted,roi des Romains,1209.0,1272.0
Jean Ier de France,1316-11-23T00:00:00Z,Paris,1316-11-28T00:00:00Z,Paris,"roi, Monarque de Navarre",1316.0,1316.0
Gilles Le Breton,,,1553-01-01T00:00:00Z,Seine-et-Marne,,,1553.0
Pierre de Lyon,,,1491-02-11T00:00:00Z,,archevêque,,1491.0
Pierre de Nantes,1350-01-01T00:00:00Z,,1363-01-01T00:00:00Z,,"évêque catholique, évêque diocésain",1350.0,1363.0
Jean de Roye,1425-01-01T00:00:00Z,,1495-01-01T00:00:00Z,,,1425.0,1495.0
Q66481223,1250-01-01T00:00:00Z,,1298-10-03T00:00:00Z,,,1250.0,1298.0
Simon de Bucy,,,1404-10-14T00:00:00Z,,évêque,,1404.0
Jean de Corbeil,1201-01-01T00:00:00Z,,1318-11-01T00:00:00Z,,,1201.0,1318.0
Pierre l'Ermite,1050-01-01T00:00:00Z,Amiens,1115-07-08T00:00:00Z,Huy,,1050.0,1115.0
Gautier de Laon,,,0892-01-01T00:00:00Z,,,,892.0
Jean Rolin,1408-01-01T00:00:00Z,Autun,1483-07-01T00:00:00Z,Auxerre,"évêque diocésain, évêque de Chalon-sur-Saône",1408.0,1483.0
Jeanne de Brienne-Ramerupt,,,1270-01-01T00:00:00Z,,,,1270.0
Pierre de Fontenay,,,1499-06-12T00:00:00Z,,"évêque catholique, évêque diocésain",,1499.0
Pierre Baudonis,,,1509-01-01T00:00:00Z,Terni,"évêque catholique, évêque diocésain",,1509.0
Q68904893,,,1483-03-16T00:00:00Z,,"évêque catholique, évêque diocésain",,1483.0
Robert Grossetête,1168-01-01T00:00:00Z,Stradbroke,1253-10-09T00:00:00Z,Lincoln,évêque de Lincoln,1168.0,1253.0
Simon de Langres,,Bourgogne-Franche-Comté,1384-06-07T00:00:00Z,Nantes,"évêque, maître général de l'ordre des Prêcheurs",,1384.0
Guillaume Le Clerc de Normandie,1200-01-01T00:00:00Z,,1240-01-01T00:00:00Z,,,1200.0,1240.0
Jean de Marigny,1250-01-01T00:00:00Z,,1351-12-27T00:00:00Z,,archevêque,1250.0,1351.0
Pierre de Laval,1442-07-17T00:00:00Z,,1493-08-14T00:00:00Z,,"évêque diocésain, archevêque catholique",1442.0,1493.0
Guillaume de Trie,,France,1334-09-28T00:00:00Z,Reims,"évêque, évêque de Bayeux, archevêque de Reims",,1334.0
Robert Ier de Troyes,0900-01-01T00:00:00Z,,0886-01-01T00:00:00Z,Paris,,900.0,886.0
Robert le Bourguignon,1035-01-01T00:00:00Z,,1098-01-01T00:00:00Z,,,1035.0,1098.0
Henri de Lorraine,,t1750306031,1505-10-12T00:00:00Z,t1750306034,"évêque de Metz, évêque de Thérouanne",,1505.0
Robert III de Beaumont,1130-01-01T00:00:00Z,,1190-08-31T00:00:00Z,Durrës,Lord Grand Intendant,1130.0,1190.0
Pierre des Essarts,1350-01-01T00:00:00Z,,1413-07-10T00:00:00Z,Paris,prévôt de Paris,1350.0,1413.0
Pierre Du Chastel,1480-01-01T00:00:00Z,Arc-en-Barrois,1552-02-13T00:00:00Z,,"évêque catholique, évêque diocésain, grand aumônier de France, Maître de la Librairie du Roi",1480.0,1552.0
Jean de Hesdin,1320-01-01T00:00:00Z,Hesdin,1412-01-01T00:00:00Z,,,1320.0,1412.0
Robert de La Porte,,Caen,1379-01-01T00:00:00Z,,évêque,,1379.0
Pierre de Saint-Chrysogone,1110-01-01T00:00:00Z,France,1182-08-08T00:00:00Z,,"cardinal, archevêque, évêque catholique",1110.0,1182.0
Jean Beleth,1101-01-01T00:00:00Z,,1185-01-01T00:00:00Z,,,1101.0,1185.0
Jean de Corbie,1350-01-01T00:00:00Z,,,,évêque,1350.0,
Q68910596,,,1522-06-08T00:00:00Z,,"évêque catholique, évêque diocésain",,1522.0
Raoul Roussel,1389-01-01T00:00:00Z,Villedieu-les-Poêles,1452-12-31T00:00:00Z,Rouen,archevêque,1389.0,1452.0
Guillaume de Boulogne,1135-01-01T00:00:00Z,,1159-10-01T00:00:00Z,Toulouse,,1135.0,1159.0
Jean de Nivelle,1422-01-01T00:00:00Z,,1477-06-26T00:00:00Z,,,1422.0,1477.0
Pierre de La Forest,1305-01-01T00:00:00Z,France,1361-06-07T00:00:00Z,Avignon,"cardinal, archevêque",1305.0,1361.0
Pierre de Martigny,,,1560-06-06T00:00:00Z,,"évêque catholique, évêque diocésain",,1560.0
Jean  de Berry,1340-12-08T00:00:00Z,Vincennes,1416-06-24T00:00:00Z,Paris,,1340.0,1416.0
Jean du Plessis-Pasté,,,1332-03-01T00:00:00Z,,évêque,,1332.0
Jean de Nesle-Offémont,1288-01-01T00:00:00Z,,1352-05-25T00:00:00Z,,,1288.0,1352.0
Jean Chartier,1385-01-01T00:00:00Z,Bayeux,1464-02-19T00:00:00Z,,,1385.0,1464.0
Pierre de Hauteville,1376-01-01T00:00:00Z,,1448-10-10T00:00:00Z,,,1376.0,1448.0
Q64761916,,,1440-10-24T00:00:00Z,,"évêque catholique, évêque diocésain",,1440.0
